,Gene,Gene2,Correlation
3179545,TFEB,NHSL1,-0.109
3179546,TFEB,HEBP2,-0.109
3179547,TFEB,UTRN,-0.109
3179548,TFEB,FBXO30,-0.107
3179549,TFEB,SHPRH,-0.107
3179550,TFEB,GRM1,-0.107
3179551,TFEB,RAB32,-0.106
3179552,TFEB,SETD9,-0.106
3179553,TFEB,MIER3,-0.106
3179554,TFEB,EPM2A,-0.106
3179555,TFEB,PERP,-0.105
3179556,TFEB,PHACTR2,-0.104
3179557,TFEB,OLIG3,-0.103
3179558,TFEB,SF3B5,-0.103
3179559,TFEB,ITGA2,-0.102
3179560,TFEB,MAP3K1,-0.101
3179561,TFEB,MOCS2,-0.101
3179562,TFEB,TUSC1,0.101
3179563,TFEB,TNFAIP3,-0.101
3179564,TFEB,IFNGR1,-0.1
3179565,TFEB,IL22RA2,-0.1
3179566,TFEB,SEC63,-0.1
3179567,TFEB,STXBP5,-0.098
3179568,TFEB,MED20,-0.098
3179569,TFEB,PLAGL1,-0.098
3179570,TFEB,SNX3,-0.098
3179571,TFEB,NR2E1,-0.098
3179572,TFEB,CCND3,-0.097
3179573,TFEB,BYSL,-0.097
3179574,TFEB,SAMD5,-0.096
3179575,TFEB,OSTM1,-0.096
3179576,TFEB,PRPF4,-0.096
3179577,TFEB,CDC26,-0.096
3179578,TFEB,RNF183,-0.096
3179579,TFEB,SLC35D3,-0.096
3179580,TFEB,IL20RA,-0.096
3179581,TFEB,ISL1,-0.096
3179582,TFEB,SLC38A9,-0.095
3179583,TFEB,TAF8,-0.095
3179584,TFEB,PEX7,-0.095
3179585,TFEB,PDE4D,-0.095
3179586,TFEB,IL31RA,-0.095
3179587,TFEB,DDX4,-0.095
3179588,TFEB,MAP3K5,-0.095
3179589,TFEB,KRTAP4-2,-0.157
3179590,TFEB,RAB21,0.14800000000000002
3179591,TFEB,ACOT6,-0.145
3179592,TFEB,UGT1A8,-0.142
3179593,TFEB,THOC5,-0.13699999999999998
3179594,TFEB,ARMC3,0.136
3179595,TFEB,GNGT2,0.133
3179596,TFEB,ZNF551,0.132
3179597,TFEB,TMEM236,-0.131
3179598,TFEB,MYOF,0.129
3179599,TFEB,SUSD1,0.128
3179600,TFEB,PRSS23,-0.128
3179601,TFEB,GPR150,-0.127
3179602,TFEB,OR4C3,0.127
3179603,TFEB,HAT1,0.127
3179604,TFEB,CAD,0.127
3179605,TFEB,CADM1,-0.126
3179606,TFEB,RAC3,-0.125
3179607,TFEB,PIEZO1,-0.125
3179608,TFEB,ENTPD3,0.124
3179609,TFEB,IGFL4,0.123
3179610,TFEB,TAF9,0.123
3179611,TFEB,APOC4,-0.122
3179612,TFEB,RHBDF1,-0.122
3179613,TFEB,OR5M3,0.122
3179614,TFEB,FOXA3,-0.12
3179615,TFEB,FAM86C1,-0.12
3179616,TFEB,ILDR2,0.12
3179617,TFEB,GHSR,0.119
3179618,TFEB,CYLC1,0.118
3179619,TFEB,YIPF4,0.118
3179620,TFEB,CHMP1B,-0.118
3179621,TFEB,PTN,0.117
3179622,TFEB,SVOPL,0.115
3179623,TFEB,EIF4G1,0.115
3179624,TFEB,COQ5,-0.114
3179625,TFEB,HIF3A,0.114
3179626,TFEB,TP53,-0.114
3179627,TFEB,EPHA6,0.114
3179628,TFEB,TLR6,0.113
3179629,TFEB,PCDHA2,0.113
3179630,TFEB,TMC5,0.113
3179631,TFEB,CPLX3,0.113
3179632,TFEB,MYH4,0.113
3179633,TFEB,LETM2,0.112
3179634,TFEB,CCND1,0.112
3179635,TFEB,CCL22,0.112
3179636,TFEB,KCNJ16,0.112
3179637,TFEB,FBXL14,0.111
3179638,TFEB,SAA4,0.111
3179639,TFEB,GH1,0.11
3179640,TFEB,SGPP1,-0.11
3179641,TFEB,OR2D2,0.11
3179642,TFEB,GABRE,0.11
3179643,TFEB,TSG101,-0.11
3179644,TFEB,NR5A2,0.109
3179645,TFEB,RALA,0.109
3179646,TFEB,ZNF101,0.109
3179647,TFEB,GAB2,0.109
3179648,TFEB,SUMF1,-0.109
3179649,TFEB,SMCO3,0.109
3179650,TFEB,NFYB,-0.109
3179651,TFEB,CACNA1C,0.109
3179652,TFEB,ANO4,0.108
3179653,TFEB,TMEM204,-0.108
3179654,TFEB,TARS1,0.108
3179655,TFEB,FAM170B,-0.107
3179656,TFEB,PANK1,0.107
3179657,TFEB,ZNF616,0.107
3179658,TFEB,DIPK1C,0.107
3179659,TFEB,PPP2R2B,0.107
3179660,TFEB,TRIM37,0.107
3179661,TFEB,ERAL1,-0.106
3179662,TFEB,DKK1,0.106
3179663,TFEB,ZFAND3,0.106
3179664,TFEB,CAB39,0.106
3179665,TFEB,TMEM106A,-0.106
3179666,TFEB,TASP1,0.105
3179667,TFEB,TCEANC2,0.105
3179668,TFEB,PPP1R14B,-0.105
3179669,TFEB,PLG,0.104
3179670,TFEB,BRINP2,0.104
3179671,TFEB,FAM207A,0.104
3179672,TFEB,A4GALT,0.104
3179673,TFEB,COX17,-0.104
3179674,TFEB,ZNF774,0.104
3179675,TFEB,TRHDE,0.104
3179676,TFEB,KCNN3,0.104
3179677,TFEB,UBE2C,0.104
3179678,TFEB,ABCC9,0.103
3179679,TFEB,ATP5F1B,0.103
3179680,TFEB,CCT6A,0.103
3179681,TFEB,CRHR2,0.103
3179682,TFEB,ZNF529,0.103
3267948,OPTN,GBP6,-0.255
3267949,OPTN,TPGS1,0.245
3267950,OPTN,CLUAP1,0.236
3267951,OPTN,AZI2,0.225
3267952,OPTN,ZBTB43,0.218
3267953,OPTN,TCFL5,0.215
3267954,OPTN,BPIFA1,0.214
3267955,OPTN,BCCIP,0.206
3267956,OPTN,NUTM1,-0.204
3267957,OPTN,SAR1B,0.204
3267958,OPTN,EPHB4,-0.203
3267959,OPTN,LCN15,0.202
3267960,OPTN,SLCO1B1,0.201
3267961,OPTN,LYSMD4,0.2
3267962,OPTN,BMP8B,-0.199
3267963,OPTN,CAAP1,0.196
3267964,OPTN,GCSAML,0.196
3267965,OPTN,C22orf46,0.193
3267966,OPTN,COIL,0.19
3267967,OPTN,PAIP2,0.19
3267968,OPTN,HCFC1R1,0.188
3267969,OPTN,USHBP1,-0.188
3267970,OPTN,TRMT61A,-0.187
3267971,OPTN,PLEKHM2,0.18600000000000005
3267972,OPTN,LCA5L,0.18600000000000005
3267973,OPTN,ZNF354A,0.185
3267974,OPTN,PHYHD1,0.185
3267975,OPTN,RAB12,0.184
3267976,OPTN,INHBE,0.184
3267977,OPTN,IAH1,0.183
3267978,OPTN,GIPC2,-0.183
3267979,OPTN,SPATA24,0.182
3267980,OPTN,MRPL55,-0.182
3267981,OPTN,SUV39H2,0.181
3267982,OPTN,FLNB,-0.181
3267983,OPTN,OR2C1,0.18
3267984,OPTN,GATB,-0.18
3267985,OPTN,LIMA1,-0.18
3267986,OPTN,SLC35E2B,0.18
3267987,OPTN,C3orf52,0.18
3267988,OPTN,JAZF1,0.18
3267989,OPTN,AIM2,-0.179
3267990,OPTN,EOMES,0.179
3267991,OPTN,MANEAL,0.179
3267992,OPTN,MPIG6B,-0.179
3267993,OPTN,KCNC4,-0.17800000000000002
3267994,OPTN,LAPTM5,-0.17800000000000002
3267995,OPTN,ZNF415,0.17800000000000002
3267996,OPTN,FNDC4,0.177
3267997,OPTN,DNM1,0.17600000000000002
3267998,OPTN,SCGB1A1,-0.17600000000000002
3267999,OPTN,FAM98A,0.175
3268000,OPTN,KEL,-0.174
3268001,OPTN,ENTR1,0.174
3268002,OPTN,MCU,0.174
3268003,OPTN,DCAF16,0.174
3268004,OPTN,THUMPD3,0.173
3268005,OPTN,SETMAR,0.173
3268006,OPTN,TRIM26,-0.172
3268007,OPTN,TAMM41,-0.172
3268008,OPTN,KLHL35,-0.171
3268009,OPTN,AXDND1,-0.171
3268010,OPTN,CDIPT,-0.171
3268011,OPTN,CELF2,0.17
3268012,OPTN,RRP8,0.17
3268013,OPTN,VN1R1,0.17
3268014,OPTN,THAP5,0.17
3268015,OPTN,ZCWPW1,0.17
3268016,OPTN,ANKRD16,0.16899999999999998
3268017,OPTN,C4orf36,-0.16899999999999998
3268018,OPTN,FAM47C,0.16899999999999998
3268019,OPTN,DHRS12,0.16899999999999998
3268020,OPTN,RAB3IP,0.16899999999999998
3268021,OPTN,UBN1,0.16899999999999998
3268022,OPTN,SCIMP,0.16899999999999998
3268023,OPTN,KRT85,-0.168
3268024,OPTN,SELENOS,0.168
3268025,OPTN,CBX8,0.168
3268026,OPTN,FAAP20,0.16699999999999998
3268027,OPTN,ZDHHC2,0.16699999999999998
3268028,OPTN,ZC2HC1C,-0.16699999999999998
3268029,OPTN,MDGA1,-0.16699999999999998
3268030,OPTN,NXPH2,-0.16699999999999998
3268031,OPTN,IFIT1B,0.16699999999999998
3268032,OPTN,THOP1,0.16699999999999998
3268033,OPTN,ALDOC,0.16699999999999998
3268034,OPTN,PRKCA,0.166
3268035,OPTN,KISS1,-0.166
3268036,OPTN,SMOX,0.166
3268037,OPTN,ZNF586,0.165
3268038,OPTN,WARS2,-0.165
3268039,OPTN,NUDT5,0.165
3268040,OPTN,CEP170B,0.165
3268041,OPTN,TAS2R30,0.165
3268042,OPTN,MTRNR2L3,0.165
3268043,OPTN,MPG,0.16399999999999998
3268044,OPTN,RSPH6A,0.16399999999999998
3268045,OPTN,CD8B,-0.16399999999999998
3268046,OPTN,ZDHHC21,0.16399999999999998
3268047,OPTN,OR1J1,0.163
3268048,OPTN,TRIM14,0.14800000000000002
3268049,OPTN,OR2S2,0.147
3268050,OPTN,COMMD10,-0.146
3268051,OPTN,NDUFS4,-0.14
3268052,OPTN,TAFA1,-0.138
3268053,OPTN,HOPX,-0.136
3268054,OPTN,AWAT1,-0.135
3268055,OPTN,CD34,-0.134
3268056,OPTN,CDK5RAP1,0.133
3268057,OPTN,DHX16,0.133
3268058,OPTN,ACTRT1,-0.132
3268059,OPTN,GFOD1,0.132
3268060,OPTN,DHRS11,0.132
3268061,OPTN,ZNF683,-0.131
3268062,OPTN,STC1,-0.131
3268063,OPTN,KRTAP10-11,-0.128
3268064,OPTN,MCM8,0.127
3268065,OPTN,OR51G1,-0.125
3268066,OPTN,NDFIP1,-0.125
3268067,OPTN,HTR5A,-0.124
3268068,OPTN,LPCAT1,-0.122
3268069,OPTN,FAM174A,-0.12
3268070,OPTN,SLC30A5,-0.12
3268071,OPTN,MRPS6,-0.12
3268072,OPTN,VWA5A,-0.119
3268073,OPTN,RPP21,0.119
3268074,OPTN,NOP56,0.118
3268075,OPTN,ARRDC3,-0.118
3268076,OPTN,LSM2,0.117
3268077,OPTN,ACVR1C,0.116
3268078,OPTN,DPH2,0.116
3268079,OPTN,ADRA2A,-0.115
3268080,OPTN,CPNE1,0.115
3268081,OPTN,TOP1MT,0.115
3268082,OPTN,KRTAP19-5,0.115
3268083,OPTN,NMT1,0.114
3268084,OPTN,LCN1,-0.113
3268085,OPTN,CERS2,-0.113
3268086,OPTN,CFI,-0.113
3268087,OPTN,OR10S1,0.113
3268088,OPTN,PRR30,0.112
3268089,OPTN,ILRUN,0.112
3268090,OPTN,ST8SIA5,-0.111
3268091,OPTN,CDKN1A,-0.111
3268092,OPTN,MUTYH,0.111
3268093,OPTN,IQCN,-0.111
3268094,OPTN,NANOGNB,-0.111
3268095,OPTN,IDH3B,0.11
3268096,OPTN,WDR46,0.11
3268097,OPTN,ABCF1,0.109
3268098,OPTN,NELFCD,0.109
3268099,OPTN,TCEAL6,-0.109
3268100,OPTN,IFNE,-0.109
3268101,OPTN,LHB,0.108
3268102,OPTN,KRTAP10-10,-0.108
3268103,OPTN,CT45A7,-0.108
3268104,OPTN,PPP3CA,-0.108
3268105,OPTN,C1orf174,0.108
3268106,OPTN,DHRSX,-0.108
3268107,OPTN,FAM118A,0.108
3268108,OPTN,CCDC34,0.107
3268109,OPTN,CASTOR1,-0.107
3268110,OPTN,SHISA3,-0.107
3268111,OPTN,GNL1,0.107
3268112,OPTN,NXT1,0.107
3268113,OPTN,KRTAP12-1,-0.107
3268114,OPTN,C6orf136,0.107
3268115,OPTN,KRTAP10-12,-0.106
3268116,OPTN,EXOSC6,-0.106
3268117,OPTN,BRINP2,-0.105
3268118,OPTN,NUP85,0.105
3268119,OPTN,CAMK2D,-0.105
3268120,OPTN,VSIG8,0.105
3268121,OPTN,C5orf24,-0.105
3268122,OPTN,TRPC5,-0.105
3268123,OPTN,KRTAP5-5,-0.105
3268124,OPTN,FAM110B,-0.104
3268125,OPTN,TASP1,0.104
3268126,OPTN,CALML3,0.104
3268127,OPTN,UPF2,0.104
3268128,OPTN,CRB1,-0.104
3268129,OPTN,SART1,0.103
3268130,OPTN,MIIP,0.103
3268131,OPTN,ANKRA2,-0.103
3268132,OPTN,MMS22L,0.103
3268133,OPTN,FAM172A,-0.103
3268134,OPTN,ITFG1,-0.102
3268135,OPTN,NDP,-0.102
3268136,OPTN,CMTR1,0.102
3268137,OPTN,HSPB9,0.102
3268138,OPTN,CTNNBL1,0.102
3268139,OPTN,GTF2H4,0.102
3268140,OPTN,FANCE,0.102
3268141,OPTN,ARSB,-0.101
3268142,OPTN,UBE2B,-0.101
3268143,OPTN,TMEM216,0.101
3268144,OPTN,LAMTOR3,-0.101
3268145,OPTN,PCSK1,-0.14800000000000002
3268146,OPTN,HLA-C,0.14400000000000002
3268147,OPTN,MRPS36,-0.14300000000000002
3268148,OPTN,CENPH,-0.14300000000000002
3268149,OPTN,ERAP2,-0.141
3268150,OPTN,CAST,-0.141
3268151,OPTN,ERAP1,-0.141
3268152,OPTN,CCNB1,-0.141
3268153,OPTN,AK6,-0.139
3268154,OPTN,TAF9,-0.139
3268155,OPTN,RAD17,-0.139
3268156,OPTN,CCDC125,-0.139
3268157,OPTN,LIX1,-0.139
3268158,OPTN,LNPEP,-0.139
3268159,OPTN,SFTA2,0.138
3268160,OPTN,MUCL3,0.138
3268161,OPTN,MAD2L1,-0.13699999999999998
3268162,OPTN,OCLN,-0.13699999999999998
3268163,OPTN,FAM241A,-0.13699999999999998
3268164,OPTN,RIOK2,-0.13699999999999998
3268165,OPTN,VARS2,0.136
3268166,OPTN,SPATA9,-0.136
3268167,OPTN,RFESD,-0.136
3268168,OPTN,GPR150,-0.136
3268169,OPTN,YTHDC2,-0.136
3268170,OPTN,TSSK1B,-0.136
3268171,OPTN,PIK3R1,-0.136
3268172,OPTN,NUDT12,-0.136
3268173,OPTN,ARSK,-0.135
3268174,OPTN,PRDM5,-0.135
3268175,OPTN,KIAA1109,-0.135
3268176,OPTN,GLRX,-0.135
3268177,OPTN,ELL2,-0.135
3268178,OPTN,MUC21,0.135
3268179,OPTN,MUC22,0.135
3268180,OPTN,PSORS1C2,0.134
3268181,OPTN,CCHCR1,0.134
3268182,OPTN,MARVELD2,-0.134
3268183,OPTN,RHOBTB3,-0.134
3268184,OPTN,RGMB,-0.134
3268185,OPTN,NDNF,-0.134
3268186,OPTN,TNIP3,-0.134
3268187,OPTN,QRFPR,-0.134
3268188,OPTN,C5orf30,-0.134
3268189,OPTN,C6orf15,0.134
3268190,OPTN,PSORS1C1,0.133
3268191,OPTN,CDSN,0.133
3268192,OPTN,MCC,-0.133
3268193,OPTN,PRR3,0.133
3268194,OPTN,CDK7,-0.133
3268195,OPTN,TRAM1L1,-0.132
3268196,OPTN,CAMK4,-0.132
3268197,OPTN,POU5F1,0.132
3268198,OPTN,NDST3,-0.132
3268199,OPTN,CPNE7,-0.132
3268200,OPTN,TCF19,0.132
3268201,OPTN,MRPS18B,0.131
3268202,OPTN,PPP1R10,0.131
3268203,OPTN,IER3,0.131
3268204,OPTN,DDR1,0.131
3268205,OPTN,VCAN,-0.131
3268206,OPTN,TUBB,0.13
3268207,OPTN,FLOT1,0.13
3268208,OPTN,HLA-E,0.129
3268209,OPTN,NRM,0.129
3268210,OPTN,MDC1,0.129
3268211,OPTN,FAHD2A,0.113
3268212,OPTN,KCNIP3,0.113
3268213,OPTN,ZNF514,0.112
3268214,OPTN,ZNF2,0.112
3268215,OPTN,PROM2,0.112
3268216,OPTN,SOD2,0.112
3268217,OPTN,FNDC1,0.111
3268218,OPTN,RSPH3,0.111
3268219,OPTN,TAGAP,0.111
3268220,OPTN,SYTL3,0.111
3268221,OPTN,DYNLT1,0.111
3268222,OPTN,TRIM43,0.111
3268223,OPTN,MRPS5,0.111
3268224,OPTN,MAL,0.111
3268225,OPTN,EZR,0.11
3268226,OPTN,TEKT4,0.11
3268227,OPTN,ATAT1,0.109
3268228,OPTN,TULP4,0.108
3268229,OPTN,TMEM181,0.107
3268230,OPTN,PPP1R18,0.106
3268231,OPTN,GPAT2,0.106
3268232,OPTN,WTAP,0.106
3268233,OPTN,TMEM242,0.106
3268234,OPTN,TMEM127,0.105
3268235,OPTN,STARD7,0.105
3268236,OPTN,ASTL,0.105
3268237,OPTN,DUSP2,0.105
3268238,OPTN,ADRA2B,0.105
3268239,OPTN,MYLIP,0.105
3268240,OPTN,ARID1B,0.104
3268241,OPTN,ASB1,0.104
3268242,OPTN,SH3BP4,0.104
3268243,OPTN,TXNDC5,0.104
3268244,OPTN,BLOC1S5,0.104
3268245,OPTN,KANSL3,0.103
3268246,OPTN,SPRY2,0.103
3268247,OPTN,ARL4C,0.103
3268248,OPTN,EEF1E1,0.103
3268249,OPTN,ARID5A,0.103
3268250,OPTN,SYNJ2,0.102
3268251,OPTN,ACAT2,0.102
3268252,OPTN,NCAPH,0.102
3268253,OPTN,ITPRIPL1,0.102
3268254,OPTN,TIAM2,0.102
3268255,OPTN,PLIN4,0.102
3268256,OPTN,PLIN5,0.102
3268257,OPTN,LRG1,0.102
3268258,OPTN,SEMA6B,0.102
3268259,OPTN,LRTOMT,0.254
3268260,OPTN,TGIF2,0.194
3268261,OPTN,C20orf202,0.171
3268262,OPTN,PATE2,0.159
3268263,OPTN,DEFB128,-0.159
3268264,OPTN,CXCL16,-0.159
3268265,OPTN,H1-0,-0.159
3268266,OPTN,SCOC,-0.159
3268267,OPTN,CNPY4,0.159
3268268,OPTN,CITED1,0.154
3268269,OPTN,TARBP2,-0.152
3268270,OPTN,IL17D,0.151
3268271,OPTN,INTS9,0.151
3268272,OPTN,SRSF12,0.15
3268273,OPTN,ZMYND11,-0.15
3268274,OPTN,ADD1,-0.14800000000000002
3268275,OPTN,HSPE1,-0.14800000000000002
3268276,OPTN,BROX,0.147
3268277,OPTN,KATNAL1,0.147
3268278,OPTN,ETV3L,0.147
3268279,OPTN,LINGO2,-0.147
3268280,OPTN,CSTF3,-0.147
3268281,OPTN,CLVS1,-0.146
3268282,OPTN,RAB21,-0.146
3268283,OPTN,COL9A2,0.146
3268284,OPTN,N4BP2L2,0.14300000000000002
3268285,OPTN,UBE2E1,-0.14300000000000002
3268286,OPTN,WIZ,0.14300000000000002
3268287,OPTN,HIBADH,0.14300000000000002
3268288,OPTN,FAM13C,0.142
3268289,OPTN,RBP1,0.141
3268290,OPTN,FABP4,-0.13699999999999998
3268291,OPTN,PICALM,0.13699999999999998
3268292,OPTN,GINS1,-0.13699999999999998
3268293,OPTN,GAR1,-0.134
3268294,OPTN,MTCH2,-0.133
3268295,OPTN,FBL,0.133
3268296,OPTN,TXNDC16,-0.133
3268297,OPTN,KCNJ16,-0.132
3268298,OPTN,MEA1,-0.132
3268299,OPTN,TSPAN9,-0.13
3268300,OPTN,MRPL17,-0.13
3268301,OPTN,HINT1,-0.13
3268302,OPTN,CHMP3,-0.129
3268303,OPTN,ERP29,0.129
3268304,OPTN,NBAS,0.128
3268305,OPTN,PIAS3,0.128
3268306,OPTN,GML,-0.128
3268307,OPTN,SCRIB,-0.127
3268308,OPTN,RBFOX2,0.126
3268309,OPTN,C6orf223,-0.126
3268310,OPTN,NXNL1,-0.126
3268311,OPTN,DNPEP,0.125
3268312,OPTN,DRAM1,-0.125
3268313,OPTN,GET1,-0.125
3268314,OPTN,GFRAL,0.125
3268315,OPTN,CCT7,0.124
3268316,OPTN,STEAP4,-0.124
3268317,OPTN,FGF1,-0.123
3268318,OPTN,GALNT2,0.123
3268319,OPTN,ARL1,0.123
3268320,OPTN,CDKL3,0.123
3268321,OPTN,BUD23,-0.123
3268322,OPTN,GPR143,-0.122
3268323,OPTN,LDLRAP1,0.122
3268324,OPTN,TERB2,-0.122
3268325,OPTN,ZNF776,-0.122
3268326,OPTN,MAGEB1,-0.121
3268327,OPTN,LGMN,0.121
3268328,OPTN,KRTAP20-1,-0.121
3268329,OPTN,ACER1,-0.121
3268330,OPTN,ZNF320,0.121
3268331,OPTN,C10orf67,-0.12
3268332,OPTN,CRTAM,0.12
3268333,OPTN,TSC22D2,-0.12
3268334,OPTN,PLA2G2D,-0.12
3268335,OPTN,MRPL42,-0.12
3268336,OPTN,CACNA1S,0.12
3268337,OPTN,PIGA,-0.12
3268338,OPTN,NUDT3,-0.12
3268339,OPTN,WDR5B,-0.119
3268340,OPTN,MAPK6,-0.119
3268341,OPTN,TIMM10B,-0.119
3268342,OPTN,ZNF548,0.119
3268343,OPTN,GADL1,0.119
3268344,OPTN,SUPT3H,0.119
3268345,OPTN,RAD51AP1,-0.118
3268346,OPTN,OR1K1,0.118
3268347,OPTN,C1orf105,-0.118
3268348,OPTN,SUSD3,-0.117
3268349,OPTN,CBWD2,-0.116
3268350,OPTN,CC2D2A,0.116
3268351,OPTN,UBE2S,-0.116
3268352,OPTN,SSTR4,0.115
3268353,OPTN,RNF133,-0.115
3305172,ULK1,MTMR3,-0.252
3305173,ULK1,WDR45,0.251
3305174,ULK1,ATG3,0.237
3305175,ULK1,ATG101,0.224
3305176,ULK1,RUVBL1,0.223
3305177,ULK1,ATG12,0.222
3305178,ULK1,TMEM179,0.214
3305179,ULK1,PABPC1L,-0.207
3305180,ULK1,SPNS1,-0.202
3305181,ULK1,NXPH1,-0.2
3305182,ULK1,ATG7,0.199
3305183,ULK1,TRPC7,0.195
3305184,ULK1,SEC63,-0.194
3305185,ULK1,DPM3,-0.191
3305186,ULK1,RB1CC1,0.19
3305187,ULK1,RPH3A,0.19
3305188,ULK1,PDCD10,0.188
3305189,ULK1,ABHD13,0.187
3305190,ULK1,CHMP4C,0.184
3305191,ULK1,OR10W1,-0.183
3305192,ULK1,C16orf70,0.183
3305193,ULK1,TCTN2,0.182
3305194,ULK1,MOB2,0.181
3305195,ULK1,POLR2D,0.181
3305196,ULK1,RNASE11,-0.18
3305197,ULK1,ARL6IP4,0.17800000000000002
3305198,ULK1,DOC2A,-0.17800000000000002
3305199,ULK1,SIGLEC14,-0.177
3305200,ULK1,RAD9B,0.17600000000000002
3305201,ULK1,TPGS2,-0.175
3305202,ULK1,COG7,-0.174
3305203,ULK1,ZP4,0.173
3305204,ULK1,C4orf17,-0.173
3305205,ULK1,SRSF3,0.172
3305206,ULK1,TLNRD1,0.17
3305207,ULK1,CEP126,-0.17
3305208,ULK1,MYADML2,0.17
3305209,ULK1,ZNF559,0.16899999999999998
3305210,ULK1,CSDE1,-0.16899999999999998
3305211,ULK1,SLITRK4,-0.16899999999999998
3305212,ULK1,GPR101,0.168
3305213,ULK1,ARHGAP24,-0.168
3305214,ULK1,ARHGEF10L,0.16699999999999998
3305215,ULK1,PTPN3,0.16699999999999998
3305216,ULK1,SNAPIN,-0.166
3305217,ULK1,ALG8,-0.166
3305218,ULK1,ZSCAN25,-0.166
3305219,ULK1,ATG13,0.166
3305220,ULK1,BANF1,0.165
3305221,ULK1,ARPC4,-0.165
3305222,ULK1,COG3,-0.165
3305223,ULK1,POU4F2,0.16399999999999998
3305224,ULK1,DENND2C,-0.16399999999999998
3305225,ULK1,P2RY8,0.163
3305226,ULK1,H2AC17,0.163
3305227,ULK1,ZG16,-0.163
3305228,ULK1,GFY,0.163
3305229,ULK1,CD101,-0.162
3305230,ULK1,CYP27C1,-0.162
3305231,ULK1,ECD,0.162
3305232,ULK1,INHBA,-0.162
3305233,ULK1,OR8H2,-0.162
3305234,ULK1,ADI1,0.162
3305235,ULK1,FBRSL1,0.162
3305236,ULK1,MPDU1,-0.162
3305237,ULK1,USP28,0.161
3305238,ULK1,CCDC190,-0.161
3305239,ULK1,ZNF84,0.161
3305240,ULK1,MDFIC,-0.161
3305241,ULK1,POLR2H,0.16
3305242,ULK1,FRYL,0.16
3305243,ULK1,DOK1,-0.16
3305244,ULK1,NECTIN1,0.16
3305245,ULK1,ALG5,-0.159
3305246,ULK1,DDIT4,0.159
3305247,ULK1,RUNX1,0.159
3305248,ULK1,MAP3K2,-0.158
3305249,ULK1,CLINT1,0.158
3305250,ULK1,STK38,0.158
3305251,ULK1,GPR153,0.158
3305252,ULK1,SPPL3,0.158
3305253,ULK1,SUPT7L,0.157
3305254,ULK1,FAM200A,-0.157
3305255,ULK1,CDH6,-0.157
3305256,ULK1,AFM,-0.157
3305257,ULK1,CDT1,0.156
3305258,ULK1,TFAP4,-0.156
3305259,ULK1,POLR2C,0.156
3305260,ULK1,C16orf92,-0.155
3305261,ULK1,IFI27,0.155
3305262,ULK1,UCN,0.155
3305263,ULK1,ODR4,-0.154
3305264,ULK1,EPHA2,0.154
3305265,ULK1,IKBIP,0.153
3305266,ULK1,NCBP2,0.153
3305267,ULK1,C4orf3,0.152
3305268,ULK1,GPR26,0.152
3305269,ULK1,JADE3,-0.152
3305270,ULK1,IPO9,-0.151
3305271,ULK1,LIN7C,-0.151
3305272,ULK1,HES3,0.243
3305273,ULK1,PRDM14,0.229
3305274,ULK1,MLN,0.209
3305275,ULK1,CLEC4E,0.183
3305276,ULK1,NANOG,0.18
3305277,ULK1,PDZK1IP1,0.18
3305278,ULK1,RNF150,-0.17600000000000002
3305279,ULK1,EAF1,-0.174
3305280,ULK1,RASGEF1A,0.16899999999999998
3305281,ULK1,AKAP8L,-0.166
3305282,ULK1,BRSK1,-0.166
3305283,ULK1,ZNF184,-0.165
3305284,ULK1,CCDC62,-0.165
3305285,ULK1,SEMA4B,0.162
3305286,ULK1,DAZL,0.161
3305287,ULK1,TCF12,-0.16
3305288,ULK1,ITGB6,0.16
3305289,ULK1,TBC1D24,-0.159
3305290,ULK1,C16orf74,0.159
3305291,ULK1,WDR82,-0.158
3305292,ULK1,RBM15B,-0.158
3305293,ULK1,PAQR7,0.158
3305294,ULK1,TMEM92,0.158
3305295,ULK1,WWC1,0.158
3305296,ULK1,PPP2R3C,-0.158
3305297,ULK1,UNC93B1,0.157
3305298,ULK1,GLIPR1L1,0.157
3305299,ULK1,RAB9A,0.157
3305300,ULK1,CAV2,0.157
3305301,ULK1,MT2A,0.156
3305302,ULK1,CSTB,0.155
3305303,ULK1,PDXP,-0.155
3305304,ULK1,ANKRD2,0.153
3305305,ULK1,IL20RB,0.153
3305306,ULK1,PSPN,-0.153
3305307,ULK1,FOXRED2,-0.153
3305308,ULK1,LRRC7,-0.152
3305309,ULK1,CUX2,-0.152
3305310,ULK1,MEX3B,-0.152
3305311,ULK1,ALS2CL,0.152
3305312,ULK1,FLRT1,-0.151
3305313,ULK1,LAMC2,0.151
3305314,ULK1,ARHGEF6,-0.15
3305315,ULK1,NANOGNB,0.15
3305316,ULK1,ZNF546,-0.149
3305317,ULK1,ITPRIPL1,-0.149
3305318,ULK1,TCF3,-0.14800000000000002
3305319,ULK1,EBF1,-0.14800000000000002
3305320,ULK1,EPS8L2,0.14800000000000002
3305321,ULK1,NREP,-0.14800000000000002
3305322,ULK1,PRR3,-0.14800000000000002
3305323,ULK1,C19orf33,0.14800000000000002
3305324,ULK1,F11R,0.14800000000000002
3305325,ULK1,ZNF136,-0.147
3305326,ULK1,KRT15,0.147
3305327,ULK1,CAMK1G,-0.147
3305328,ULK1,NCEH1,0.147
3305329,ULK1,ENPP6,-0.146
3305330,ULK1,DDR2,-0.146
3305331,ULK1,CLCF1,0.146
3305332,ULK1,C1QTNF3,-0.146
